epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,6339.52,1.21107,0.65099,0.0024,0.89539,0.82892,0.91416,0.68745,1.04324,0.57866,0.00217,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,6406.67,1.20768,0.65121,0.0024,0.88816,0.84264,0.91422,0.6895,1.04367,0.57651,0.00217,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,6474.65,1.2112,0.64789,0.0024,0.9002,0.83175,0.91321,0.68994,1.04159,0.57092,0.00216,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,6542.56,1.20598,0.64381,0.0024,0.9021,0.83182,0.91498,0.69034,1.03857,0.57282,0.00216,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,6609.72,1.21019,0.64867,0.00239,0.90164,0.83603,0.91543,0.6895,1.04055,0.57498,0.00217,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,6677.05,1.21268,0.651,0.00241,0.91002,0.8231,0.91298,0.6886,1.04099,0.58018,0.00217,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,6743.96,1.20698,0.65118,0.00242,0.8966,0.83379,0.91289,0.68948,1.04031,0.57688,0.00216,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,6811.73,1.19927,0.63809,0.00236,0.89772,0.83297,0.91313,0.69064,1.0366,0.57651,0.00214,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,6879.45,1.19657,0.6342,0.00238,0.88944,0.83303,0.91075,0.68649,1.0385,0.57381,0.00215,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,6946.73,1.1991,0.63589,0.00236,0.90174,0.83267,0.9138,0.6892,1.03872,0.57374,0.00215,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,7014.73,1.19819,0.62978,0.00236,0.89625,0.84031,0.91538,0.68921,1.04265,0.56768,0.00216,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,7081.96,1.19319,0.63078,0.00236,0.90467,0.83572,0.9143,0.69009,1.04071,0.5677,0.00215,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,7150.61,1.20158,0.64022,0.00237,0.90919,0.8293,0.91508,0.69137,1.03857,0.56926,0.00216,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,7218.85,1.194,0.63503,0.00235,0.90679,0.83528,0.91866,0.69282,1.03724,0.56765,0.00216,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,7286.39,1.19368,0.6355,0.00234,0.90545,0.83386,0.91627,0.69203,1.03527,0.56678,0.00215,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,7353.96,1.20003,0.63732,0.00236,0.89438,0.84195,0.91619,0.69134,1.0365,0.56556,0.00215,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,7421.23,1.19646,0.63625,0.00234,0.89755,0.83758,0.91545,0.6906,1.0396,0.56569,0.00216,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,7489.42,1.19764,0.63381,0.00236,0.90496,0.83347,0.91519,0.6893,1.04236,0.56717,0.00217,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,7557.54,1.18773,0.62482,0.00235,0.90429,0.83242,0.9169,0.69179,1.03857,0.56376,0.00216,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,7625.5,1.18337,0.62451,0.00232,0.90597,0.83256,0.91598,0.69163,1.0357,0.56778,0.00215,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,7693.58,1.18044,0.61633,0.00231,0.89106,0.84131,0.91707,0.69397,1.03653,0.56667,0.00214,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
